PRACTICE_CODE,GROUP_CODE,REGISTER,PATIENT_LIST_TYPE,PATIENT_LIST_SIZE
A81001,AF,105,TOTAL,4111
A81001,AST,348,TOTAL,4111
A81001,CAN,142,TOTAL,4111
A81001,CHD,162,TOTAL,4111
A81001,CKD,139,18OV,3258
A81001,COPD,121,TOTAL,4111
A81001,CVDPP,25,30_74,2228
A81001,DEM,49,TOTAL,4111
A81001,DEP,307,18OV,3258
A81001,DM,286,17OV,3307
A81001,EP,39,18OV,3258
A81001,HF,61,TOTAL,4111
A81001,HYP,616,TOTAL,4111
A81001,LD,25,TOTAL,4111
A81001,MH,49,TOTAL,4111
A81001,OB,346,18OV,3258
A81001,OST,8,50OV,1716
A81001,PAD,34,TOTAL,4111
A81001,PC,54,TOTAL,4111
A81001,RA,25,16OV,3345
A81001,STIA,116,TOTAL,4111
A81002,AF,531,TOTAL,19189
A81002,AST,1450,TOTAL,19189
A81002,CAN,692,TOTAL,19189
A81002,CHD,928,TOTAL,19189
A81002,CKD,911,18OV,15602
A81002,COPD,654,TOTAL,19189
A81002,CVDPP,109,30_74,11050
A81002,DEM,220,TOTAL,19189
A81002,DEP,2881,18OV,15602
A81002,DM,1258,17OV,15801
A81002,EP,162,18OV,15602
A81002,HF,212,TOTAL,19189
A81002,HYP,3361,TOTAL,19189
A81002,LD,113,TOTAL,19189
A81002,MH,141,TOTAL,19189
A81002,OB,2162,18OV,15602
A81002,OST,139,50OV,8595
A81002,PAD,188,TOTAL,19189
A81002,PC,108,TOTAL,19189
A81002,RA,129,16OV,16000
A81002,STIA,529,TOTAL,19189
A81004,AF,269,TOTAL,11014
A81004,AST,640,TOTAL,11014
A81004,CAN,345,TOTAL,11014
A81004,CHD,403,TOTAL,11014
A81004,CKD,434,18OV,8808
A81004,COPD,301,TOTAL,11014
A81004,CVDPP,112,30_74,6048
A81004,DEM,106,TOTAL,11014
A81004,DEP,774,18OV,8808
A81004,DM,616,17OV,8932
A81004,EP,82,18OV,8808
A81004,HF,109,TOTAL,11014
A81004,HYP,1575,TOTAL,11014
A81004,LD,69,TOTAL,11014
A81004,MH,75,TOTAL,11014
A81004,OB,1370,18OV,8808
A81004,OST,74,50OV,4151
A81004,PAD,68,TOTAL,11014
A81004,PC,64,TOTAL,11014
A81004,RA,72,16OV,9050
A81004,STIA,247,TOTAL,11014
A81005,AF,254,TOTAL,8154
A81005,AST,520,TOTAL,8154
A81005,CAN,370,TOTAL,8154
A81005,CHD,350,TOTAL,8154
A81005,CKD,150,18OV,6694
A81005,COPD,209,TOTAL,8154
A81005,CVDPP,48,30_74,4784
A81005,DEM,102,TOTAL,8154
A81005,DEP,715,18OV,6694
A81005,DM,501,17OV,6769
A81005,EP,57,18OV,6694
A81005,HF,60,TOTAL,8154
A81005,HYP,1472,TOTAL,8154
A81005,LD,30,TOTAL,8154
A81005,MH,85,TOTAL,8154
A81005,OB,823,18OV,6694
A81005,OST,23,50OV,4050
A81005,PAD,48,TOTAL,8154
A81005,PC,48,TOTAL,8154
A81005,RA,60,16OV,6844
A81005,STIA,216,TOTAL,8154
A81006,AF,362,TOTAL,14709
A81006,AST,1081,TOTAL,14709
A81006,CAN,451,TOTAL,14709
A81006,CHD,590,TOTAL,14709
A81006,CKD,356,18OV,11581
A81006,COPD,573,TOTAL,14709
A81006,CVDPP,121,30_74,8343
A81006,DEM,183,TOTAL,14709
A81006,DEP,1745,18OV,11581
A81006,DM,980,17OV,11725
A81006,EP,135,18OV,11581
A81006,HF,227,TOTAL,14709
A81006,HYP,2356,TOTAL,14709
A81006,LD,124,TOTAL,14709
A81006,MH,144,TOTAL,14709
A81006,OB,1523,18OV,11581
A81006,OST,119,50OV,5746
A81006,PAD,125,TOTAL,14709
A81006,PC,113,TOTAL,14709
A81006,RA,95,16OV,11883
A81006,STIA,364,TOTAL,14709
A81007,AF,265,TOTAL,9877
A81007,AST,719,TOTAL,9877
A81007,CAN,380,TOTAL,9877
A81007,CHD,416,TOTAL,9877
A81007,CKD,378,18OV,7802
A81007,COPD,393,TOTAL,9877
A81007,CVDPP,66,30_74,5523
A81007,DEM,77,TOTAL,9877
A81007,DEP,1430,18OV,7802
A81007,DM,605,17OV,7914
A81007,EP,71,18OV,7802
A81007,HF,81,TOTAL,9877
A81007,HYP,1562,TOTAL,9877
A81007,LD,56,TOTAL,9877
A81007,MH,83,TOTAL,9877
A81007,OB,865,18OV,7802
A81007,OST,5,50OV,3966
A81007,PAD,99,TOTAL,9877
A81007,PC,58,TOTAL,9877
A81007,RA,78,16OV,8033
A81007,STIA,244,TOTAL,9877
A81009,AF,206,TOTAL,8416
A81009,AST,512,TOTAL,8416
A81009,CAN,215,TOTAL,8416
A81009,CHD,312,TOTAL,8416
A81009,CKD,242,18OV,6629
A81009,COPD,211,TOTAL,8416
A81009,CVDPP,55,30_74,4745
A81009,DEM,77,TOTAL,8416
A81009,DEP,463,18OV,6629
A81009,DM,562,17OV,6730
A81009,EP,94,18OV,6629
A81009,HF,67,TOTAL,8416
A81009,HYP,1196,TOTAL,8416
A81009,LD,104,TOTAL,8416
A81009,MH,88,TOTAL,8416
A81009,OB,1005,18OV,6629
A81009,OST,18,50OV,3288
A81009,PAD,88,TOTAL,8416
A81009,PC,52,TOTAL,8416
A81009,RA,46,16OV,6842
A81009,STIA,183,TOTAL,8416
A81011,AF,265,TOTAL,11822
A81011,AST,891,TOTAL,11822
A81011,CAN,429,TOTAL,11822
A81011,CHD,648,TOTAL,11822
A81011,CKD,547,18OV,9532
A81011,COPD,488,TOTAL,11822
A81011,CVDPP,121,30_74,6676
A81011,DEM,112,TOTAL,11822
A81011,DEP,1955,18OV,9532
A81011,DM,740,17OV,9642
A81011,EP,108,18OV,9532
A81011,HF,141,TOTAL,11822
A81011,HYP,2226,TOTAL,11822
A81011,LD,95,TOTAL,11822
A81011,MH,122,TOTAL,11822
A81011,OB,1202,18OV,9532
A81011,OST,4,50OV,4935
A81011,PAD,122,TOTAL,11822
A81011,PC,75,TOTAL,11822
A81011,RA,102,16OV,9767
A81011,STIA,302,TOTAL,11822
A81012,AF,90,TOTAL,5035
A81012,AST,355,TOTAL,5035
A81012,CAN,113,TOTAL,5035
A81012,CHD,161,TOTAL,5035
A81012,CKD,131,18OV,3831
A81012,COPD,248,TOTAL,5035
A81012,CVDPP,49,30_74,2703
A81012,DEM,33,TOTAL,5035
A81012,DEP,572,18OV,3831
A81012,DM,324,17OV,3889
A81012,EP,41,18OV,3831
A81012,HF,39,TOTAL,5035
A81012,HYP,825,TOTAL,5035
A81012,LD,28,TOTAL,5035
A81012,MH,52,TOTAL,5035
A81012,OB,685,18OV,3831
A81012,OST,6,50OV,1711
A81012,PAD,59,TOTAL,5035
A81012,PC,41,TOTAL,5035
A81012,RA,26,16OV,3948
A81012,STIA,104,TOTAL,5035
A81013,AF,159,TOTAL,6833
A81013,AST,503,TOTAL,6833
A81013,CAN,242,TOTAL,6833
A81013,CHD,255,TOTAL,6833
A81013,CKD,239,18OV,5394
A81013,COPD,203,TOTAL,6833
A81013,CVDPP,87,30_74,3928
A81013,DEM,43,TOTAL,6833
A81013,DEP,969,18OV,5394
A81013,DM,487,17OV,5462
A81013,EP,57,18OV,5394
A81013,HF,38,TOTAL,6833
A81013,HYP,1312,TOTAL,6833
A81013,LD,44,TOTAL,6833
A81013,MH,68,TOTAL,6833
A81013,OB,653,18OV,5394
A81013,OST,20,50OV,2795
A81013,PAD,43,TOTAL,6833
A81013,PC,20,TOTAL,6833
A81013,RA,52,16OV,5530
A81013,STIA,117,TOTAL,6833
A81014,AF,143,TOTAL,3885
A81014,AST,351,TOTAL,3885
A81014,CAN,125,TOTAL,3885
A81014,CHD,232,TOTAL,3885
A81014,CKD,193,18OV,3244
A81014,COPD,172,TOTAL,3885
A81014,CVDPP,62,30_74,2224
A81014,DEM,54,TOTAL,3885
