PRACTICE_CODE,CKD,DM,HF,HYP,STIA,TOTAL,LIST_SIZE,PERCENTAGE_SCORE,SYSTEM_SUPPLIER,REGION_NAME,IMDScore,PERCENTAGE_FEMALE,PERCENTAGE_O65
A81001,139,286,61,616,116,1218,4111,97.38,SYSTMONE,North East and Yorkshire,75.941,50.45,22.48
A81002,911,1258,212,3361,529,6271,19189,99.62,SYSTMONE,North East and Yorkshire,71.142,50.64,22.33
A81004,434,616,109,1575,247,2981,11014,99.04,SYSTMONE,North East and Yorkshire,11.639,48.61,19.14
A81005,150,501,60,1472,216,2399,8154,98.14,SYSTMONE,North East and Yorkshire,31.183,51.57,29.32
A81006,356,980,227,2356,364,4283,14709,92.15,SYSTMONE,North East and Yorkshire,71.142,50.31,18.53
A81007,378,605,81,1562,244,2870,9877,99.92,EMIS,North East and Yorkshire,66.571,50.46,19.35
A81009,242,562,67,1196,183,2250,8416,96.99,SYSTMONE,North East and Yorkshire,56.451,49.92,17.02
A81011,547,740,141,2226,302,3956,11822,99.28,SYSTMONE,North East and Yorkshire,66.571,51.21,20.52
A81012,131,324,39,825,104,1423,5035,97.03,SYSTMONE,North East and Yorkshire,73.511,48.72,13.46
A81013,239,487,38,1312,117,2193,6833,99.96,SYSTMONE,North East and Yorkshire,16.925,50.62,20.16
A81014,193,277,52,803,121,1446,3885,99.24,SYSTMONE,North East and Yorkshire,38.561,50.04,27.07
A81016,326,595,72,1215,182,2390,10504,98.39,SYSTMONE,North East and Yorkshire,50.844,47.63,13.23
A81017,321,901,193,2589,359,4363,18874,98.89,SYSTMONE,North East and Yorkshire,60.939,50.21,16.08
A81018,478,811,142,1861,273,3565,10153,98.89,SYSTMONE,North East and Yorkshire,70.522,48.4,21.16
A81019,145,604,73,1272,158,2252,9199,92.56,SYSTMONE,North East and Yorkshire,68.402,51.38,16.36
A81020,185,498,64,1330,186,2263,8128,99.62,SYSTMONE,North East and Yorkshire,53.565,50.83,21.36
A81021,332,938,155,2125,310,3860,13521,99.04,EMIS,North East and Yorkshire,62.43,51.18,19.54
A81022,248,651,93,1834,252,3078,10017,98.51,SYSTMONE,North East and Yorkshire,43.374,50.5,22.61
A81023,113,394,83,882,115,1587,7863,98.23,SYSTMONE,North East and Yorkshire,48.84,47.91,11.88
A81025,112,235,51,621,103,1122,4069,98.01,SYSTMONE,North East and Yorkshire,75.941,49.02,20.99
A81026,446,1196,139,2539,408,4728,19668,99.01,SYSTMONE,North East and Yorkshire,56.451,48.86,15.79
A81027,457,667,142,2262,346,3874,15360,98.64,SYSTMONE,North East and Yorkshire,5.236,50.97,22.8
A81029,185,325,34,806,117,1467,6606,90.03,SYSTMONE,North East and Yorkshire,48.84,43.41,11.54
A81030,290,761,130,1963,287,3431,14296,97.56,SYSTMONE,North East and Yorkshire,70.851,50.57,19.11
A81031,447,711,133,2154,269,3714,12813,97.51,SYSTMONE,North East and Yorkshire,66.571,51.38,18.44
A81032,197,683,97,1716,291,2984,11006,95.36,SYSTMONE,North East and Yorkshire,31.183,51.24,24.98
A81034,697,1134,244,3174,455,5704,22188,98.93,SYSTMONE,North East and Yorkshire,60.939,49.9,13.99
A81035,310,611,101,1429,216,2667,10177,96.32,EMIS,North East and Yorkshire,70.851,47.85,16.04
A81036,794,1027,197,3242,476,5736,17460,100.0,SYSTMONE,North East and Yorkshire,15.039,51.02,20.44
A81037,127,481,66,983,113,1770,6977,98.31,SYSTMONE,North East and Yorkshire,48.84,46.97,12.27
A81038,66,299,26,441,66,898,3711,89.45,SYSTMONE,North East and Yorkshire,73.511,49.36,13.15
A81039,256,506,74,1401,205,2442,10772,100.0,EMIS,North East and Yorkshire,13.021,51.28,19.12
A81040,366,512,91,1306,165,2440,8545,98.86,EMIS,North East and Yorkshire,28.613,49.9,19.07
A81041,423,580,104,1801,209,3117,9268,99.99,SYSTMONE,North East and Yorkshire,43.049,49.71,20.83
A81042,442,1021,136,2208,286,4093,14176,99.4,SYSTMONE,North East and Yorkshire,62.43,49.59,16.85
A81043,162,524,136,1407,239,2468,8600,93.49,EMIS,North East and Yorkshire,12.615,51.15,20.37
A81044,812,1110,211,3173,369,5675,18731,98.1,SYSTMONE,North East and Yorkshire,48.578,49.85,19.87
A81045,177,488,82,1062,172,1981,6725,89.35,SYSTMONE,North East and Yorkshire,38.576,50.71,21.66
A81046,112,718,115,1960,291,3196,12331,98.96,SYSTMONE,North East and Yorkshire,75.941,49.75,20.64
A81048,380,544,147,1578,234,2883,7283,100.0,SYSTMONE,North East and Yorkshire,22.99,51.47,30.17
A81049,204,485,63,981,111,1844,6775,97.43,SYSTMONE,North East and Yorkshire,73.511,50.73,15.23
A81051,191,380,38,912,146,1667,6436,97.89,SYSTMONE,North East and Yorkshire,13.027,49.9,18.86
A81052,302,698,78,1639,221,2938,9058,99.0,SYSTMONE,North East and Yorkshire,70.522,51.28,20.99
A81053,242,454,76,1273,119,2164,6411,93.31,EMIS,North East and Yorkshire,36.373,48.84,22.74
A81054,129,583,53,1466,205,2436,8192,97.45,SYSTMONE,North East and Yorkshire,38.576,50.51,20.17
A81056,133,156,20,515,72,896,2565,99.59,SYSTMONE,North East and Yorkshire,33.671,50.1,21.43
A81057,282,569,127,1353,209,2540,9093,98.22,SYSTMONE,North East and Yorkshire,38.561,52.49,17.38
A81058,350,489,105,1339,240,2523,8893,99.94,EMIS,North East and Yorkshire,11.077,53.19,19.64
A81060,167,341,51,876,154,1589,5802,95.71,SYSTMONE,North East and Yorkshire,66.571,51.86,20.93
A81063,129,375,45,990,104,1643,5549,92.39,SYSTMONE,North East and Yorkshire,45.778,47.37,19.16
A81064,98,322,31,580,89,1120,7241,94.57,SYSTMONE,North East and Yorkshire,48.84,46.01,11.07
A81065,111,268,28,541,70,1018,3947,97.9,SYSTMONE,North East and Yorkshire,62.43,49.37,14.34
A81066,172,248,23,807,76,1326,4738,99.91,EMIS,North East and Yorkshire,19.796,51.75,20.38
A81067,253,634,84,1338,229,2538,12189,97.94,SYSTMONE,North East and Yorkshire,71.142,48.81,12.13
A81070,162,308,56,950,123,1599,7019,97.72,SYSTMONE,North East and Yorkshire,72.03,50.59,13.35
A81602,48,165,25,506,66,810,2410,97.83,SYSTMONE,North East and Yorkshire,28.613,48.71,26.43
A81608,142,331,29,1001,88,1591,5413,99.92,SYSTMONE,North East and Yorkshire,29.606,50.78,11.26
A81610,163,402,60,1072,178,1875,7819,96.78,SYSTMONE,North East and Yorkshire,28.613,51.33,16.92
A81611,226,481,51,1280,143,2181,7776,98.28,EMIS,North East and Yorkshire,11.077,51.79,18.09
A81612,96,205,35,706,77,1119,3466,100.0,SYSTMONE,North East and Yorkshire,18.508,50.31,21.81
A81618,263,613,76,1755,248,2955,9780,100.0,EMIS,North East and Yorkshire,18.093,51.45,27.11
A81621,43,128,20,229,46,466,2371,98.66,SYSTMONE,North East and Yorkshire,74.736,50.35,7.64
A81622,164,302,55,907,103,1531,5564,100.0,SYSTMONE,North East and Yorkshire,66.571,50.2,16.3
A81629,171,326,71,716,112,1396,4755,99.48,SYSTMONE,North East and Yorkshire,71.142,47.85,17.04
A81630,3,15,2,20,5,45,795,62.9,SYSTMONE,North East and Yorkshire,43.856,21.83,0.54
A81631,284,381,47,1296,141,2149,6858,99.53,SYSTMONE,North East and Yorkshire,60.109,51.07,18.09
A81633,0,12,1,11,0,24,1189,47.85,SYSTMONE,North East and Yorkshire,70.851,26.47,0.42
A81634,13,58,6,91,10,178,2291,98.52,SYSTMONE,North East and Yorkshire,55.909,40.05,2.89
A82003,311,737,149,1835,271,3303,11155,99.28,EMIS,North West,10.42,50.46,25.25
A82004,124,162,30,466,51,833,2232,100.0,EMIS,North East and Yorkshire,19.127,50.07,26.25
A82005,268,267,55,1106,142,1838,6276,97.02,EMIS,North West,10.85,47.02,24.66
A82006,182,318,70,910,135,1615,4989,97.8,EMIS,North East and Yorkshire,19.216,50.0,30.55
A82007,392,600,96,1391,203,2682,9729,97.94,EMIS,North West,64.948,49.89,19.79
A82008,272,800,78,1661,267,3078,11135,92.66,EMIS,North West,22.641,50.0,22.67
A82009,316,642,128,1523,222,2831,8947,97.12,EMIS,North West,36.138,50.86,21.47
A82010,212,402,74,1163,138,1989,6578,99.28,EMIS,North West,75.081,51.04,20.05
A82012,1143,1069,197,2803,493,5705,16147,94.62,EMIS,North East and Yorkshire,20.943,50.86,28.6
A82013,401,461,85,1174,188,2309,6606,99.05,EMIS,North East and Yorkshire,21.556,49.74,29.35
A82014,197,259,66,825,148,1495,4268,98.88,EMIS,North East and Yorkshire,17.336,49.9,30.72
A82015,296,369,62,812,137,1676,5415,99.48,EMIS,North East and Yorkshire,33.953,47.52,17.99
A82016,1825,2356,594,5663,890,11328,36971,100.0,EMIS,North East and Yorkshire,33.953,50.22,20.05
A82018,380,682,109,1741,302,3214,12693,99.99,EMIS,North East and Yorkshire,33.953,50.72,19.16
A82019,347,454,65,1053,174,2093,8408,99.92,EMIS,North East and Yorkshire,41.998,51.9,17.52
A82020,809,924,198,2222,370,4523,15050,91.96,EMIS,North East and Yorkshire,33.606,51.71,20.11
A82021,1020,989,230,3004,438,5681,17273,100.0,EMIS,North East and Yorkshire,7.289,50.81,25.96
A82022,362,312,47,980,115,1816,5181,99.85,EMIS,North East and Yorkshire,13.057,49.18,25.76
A82023,333,399,87,949,181,1949,5136,98.21,EMIS,North East and Yorkshire,36.102,49.86,24.45
A82024,344,439,83,1121,163,2150,5636,99.22,EMIS,North East and Yorkshire,8.381,49.67,29.25
A82025,279,579,70,1465,261,2654,10431,95.91,EMIS,North West,19.649,51.11,21.33
A82026,525,924,145,2565,461,4620,17504,98.66,EMIS,North West,10.617,51.39,24.36
A82027,344,643,142,1774,284,3187,10093,93.92,EMIS,North West,11.049,49.16,26.3
A82028,512,448,130,1440,218,2748,8390,98.91,EMIS,North East and Yorkshire,12.988,49.79,27.79
A82029,141,211,27,657,85,1121,3461,99.22,EMIS,North East and Yorkshire,19.725,50.01,28.05
A82030,182,270,44,1076,182,1754,6252,95.33,EMIS,North West,10.425,51.36,29.85
A82031,167,240,37,641,77,1162,3053,99.19,EMIS,North East and Yorkshire,13.977,50.52,26.38
A82032,503,1209,206,2505,379,4802,13953,98.94,EMIS,North East and Yorkshire,22.403,50.45,23.03
A82033,178,701,104,1345,248,2576,8141,94.09,EMIS,North West,35.272,50.1,25.27
A82034,225,382,108,1203,192,2110,6315,94.37,EMIS,North West,11.637,NA,NA
A82035,892,895,178,2489,355,4809,14575,98.58,EMIS,North East and Yorkshire,24.942,50.04,25.82
A82036,433,581,97,1524,261,2896,10389,96.75,EMIS,North East and Yorkshire,24.942,50.83,24.05
A82037,279,349,50,955,131,1764,4272,96.98,EMIS,North East and Yorkshire,27.429,50.07,31.09
A82038,294,283,45,810,91,1523,4712,100.0,EMIS,North East and Yorkshire,14.829,50.07,24.03
A82039,253,490,100,1442,212,2497,8831,98.35,EMIS,North West,18.128,51.32,23.22
A82041,397,858,175,1840,320,3590,10569,98.9,EMIS,North East and Yorkshire,22.339,49.46,21.09
A82044,980,1679,420,4113,618,7810,24047,93.25,EMIS,North East and Yorkshire,30.341,49.49,20.51
A82045,329,595,106,1407,235,2672,8800,97.13,EMIS,North East and Yorkshire,24.589,51.13,23.69
A82046,159,263,52,747,108,1329,5640,95.81,EMIS,North West,8.09,47.62,18.29
A82047,362,670,97,1602,254,2985,9250,97.13,EMIS,North East and Yorkshire,51.733,49.72,21.94
A82048,147,454,78,850,156,1685,6274,99.85,EMIS,North East and Yorkshire,33.265,50.72,20.1
A82049,189,384,56,887,133,1649,5844,98.93,EMIS,North East and Yorkshire,47.713,NA,NA
A82050,265,472,82,1084,169,2072,6804,100.0,EMIS,North East and Yorkshire,51.733,50.61,21.08
A82053,280,271,62,1110,210,1933,5026,99.61,EMIS,North West,8.806,51.29,37.26
A82055,433,515,104,1137,180,2369,6765,99.89,EMIS,North East and Yorkshire,18.328,50.1,24.64
A82058,264,293,41,760,109,1467,4337,99.01,EMIS,North East and Yorkshire,59.64,49.92,21.95
A82062,192,327,61,875,109,1564,4774,99.42,EMIS,North West,75.081,47.35,20.86
A82064,310,413,80,961,140,1904,4944,99.33,EMIS,North East and Yorkshire,26.186,49.03,25.92
A82065,185,246,65,659,122,1277,2862,100.0,EMIS,North West,8.806,NA,NA
A82068,204,256,73,802,98,1433,4442,97.2,EMIS,North West,10.42,49.56,22.73
A82070,123,305,40,1025,182,1675,6185,94.81,EMIS,North West,12.738,50.41,28.89
A82071,43,223,32,767,90,1155,4331,100.0,EMIS,North West,20.618,47.61,22.19
A82072,95,426,102,1097,158,1878,6499,97.06,EMIS,North West,75.081,48.5,21.15
A82075,177,501,89,1166,168,2101,6992,100.0,EMIS,North East and Yorkshire,59.64,51.05,20.92
A82077,31,269,31,829,95,1255,5304,93.75,EMIS,North West,38.878,52.01,18.72
A82608,166,231,32,620,83,1132,4344,95.77,EMIS,North West,14.865,49.28,24.72
A82613,8,40,5,98,15,166,1030,95.79,EMIS,North West,13.778,47.23,27.79
