PRACTICE_CODE,O65_PERCENT
A81001,22.48
A81002,22.33
A81004,19.14
A81005,29.32
A81006,18.53
A81007,19.35
A81009,17.02
A81011,20.52
A81012,13.46
A81013,20.16
A81014,27.07
A81016,13.23
A81017,16.08
A81018,21.16
A81019,16.36
A81020,21.36
A81021,19.54
A81022,22.61
A81023,11.88
A81025,20.99
A81026,15.79
A81027,22.8
A81029,11.54
A81030,19.11
A81031,18.44
A81032,24.98
A81034,13.99
A81035,16.04
A81036,20.44
A81037,12.27
A81038,13.15
A81039,19.12
A81040,19.07
A81041,20.83
A81042,16.85
A81043,20.37
A81044,19.87
A81045,21.66
A81046,20.64
A81048,30.17
A81049,15.23
A81051,18.86
A81052,20.99
A81053,22.74
A81054,20.17
A81056,21.43
A81057,17.38
A81058,19.64
A81060,20.93
A81063,19.16
A81064,11.07
A81065,14.34
A81066,20.38
A81067,12.13
A81070,13.35
A81602,26.43
A81608,11.26
A81610,16.92
A81611,18.09
A81612,21.81
A81618,27.11
A81621,7.64
A81622,16.3
A81629,17.04
A81630,0.54
A81631,18.09
A81633,0.42
A81634,2.89
A82003,25.25
A82004,26.25
A82005,24.66
A82006,30.55
A82007,19.79
A82008,22.67
A82009,21.47
A82010,20.05
A82012,28.6
A82013,29.35
A82014,30.72
A82015,17.99
A82016,20.05
A82018,19.16
A82019,17.52
A82020,20.11
A82021,25.96
A82022,25.76
A82023,24.45
A82024,29.25
A82025,21.33
A82026,24.36
A82027,26.3
A82028,27.79
A82029,28.05
A82030,29.85
A82031,26.38
A82032,23.03
A82033,25.27
A82035,25.82
A82036,24.05
A82037,31.09
A82038,24.03
A82039,23.22
A82041,21.09
A82044,20.51
A82045,23.69
A82046,18.29
A82047,21.94
A82048,20.1
A82050,21.08
A82053,37.26
A82055,24.64
A82058,21.95
A82062,20.86
A82064,25.92
A82068,22.73
A82070,28.89
A82071,22.19
A82072,21.15
A82075,20.92
A82077,18.72
A82608,24.72
A82613,27.79
A82617,26.04
A82620,22.02
A82629,22.62
A82631,25.04
A82646,24.08
A82647,32.17
A82650,29.93
A82651,27.02
A82654,19.17
A83001,20.18
A83003,21.34
A83005,21.38
A83006,18.15
A83007,22.32
A83008,20.93
A83009,24.32
A83010,23.32
A83011,8.31
A83012,19.22
A83013,15.6
A83014,23.84
A83015,24.28
A83016,20.8
A83018,22.0
A83020,21.98
A83021,20.49
A83022,19.96
A83023,19.08
A83024,25.43
A83025,18.93
A83026,19.32
A83027,18.98
A83028,23.3
A83029,24.0
A83030,16.47
A83031,24.23
A83032,29.98
A83033,21.68
A83034,18.84
A83035,30.37
A83036,29.27
A83037,24.01
A83038,17.63
